,Tipo via tmp,Nome via tmp,Civico tmp,ZD tmp,Isolato,Accesso,Info plus
19475,CSO,VERCELLI,11,7,236; , accesso esterno; , ; 
19476,VIA,IGLESIAS,38,2,200; , accesso esterno; , ; 
19477,VIA,CUNEO,3,7,213; , accesso esterno; , ; 
19478,VIA,HUGO VICTOR,1,1,,, ;via orefici 001; accesso: accesso esterno; 
19479,VIA,VOLVINIO,4,5,023; , accesso esterno; , ; 
19480,VIA,TORRIANI NAPO,28,2,053; , accesso esterno; , ; 
19481,VIA,CANTU' CESARE,3,1,437; , accesso esterno; , ;via cantu' cesare 003; 
19482,VIA,DELLA SPIGA,52,1,184; , accesso esterno; , ;via della spiga 052; 
19483,CSO,LODI,034,5,200; , accesso esterno; ,/a; 
19484,VIA,QUINTILIANO MARCO FABIO,12,4,091; , accesso esterno; , ; 
19485,CSO,MATTEOTTI GIACOMO,7,1,315; , accesso esterno; , ;cso matteotti giacomo 007; 
19486,PTA,GIORDANO UMBERTO,4,1,264; , accesso esterno; , ;pta giordano umberto 004; 
19487,VIA,BATTISTOTTI SASSI LUISA,4,4,255; , accesso esterno; , ; 
19488,VIA,MORONE GEROLAMO,6,1,363; , accesso interno; , ;via morone gerolamo 006; 
19489,PZA,SEI FEBBRAIO,26,8,086; , accesso esterno; , ; 
19490,VIA,REMBRANDT,49,7,192; , accesso esterno; , ; 
19491,VIA,CESANA BRUNO,6,2,287; , accesso esterno; , ; 
19492,VIA,PELLICO SILVIO,6,1,471; , accesso esterno; , ;gll vittorio emanuele 000; 
19493,VIA,TOFFETTI VINCENZO,1,4,074; , accesso esterno; , ; 
19494,VIA,TOFFETTI VINCENZO,5,4,074; , accesso esterno; , loc.interno; 
19495,CSO,BUENOS AIRES,63,3,017; , accesso esterno; , locale interno rist.mc donald; 
19496,CSO,BUENOS AIRES,79,3,007; , accesso esterno; , ; 
19497,CSO,BUENOS AIRES,79,3,007; , accesso esterno; , ; 
19498,CSO,VITTORIO EMANUELE II,026,1,360; , accesso esterno; ,; 
19499,PZA,DEL DUOMO,17,1,436; , accesso esterno; , ;pza del duomo 017; 
19500,VIA,BUONARROTI MICHELANGELO,6,7,215; , accesso esterno; , ; 
19501,VIA,CASATI FELICE,001,3,106; , accesso esterno; ,/a; 
19502,VIA,DE AMICIS EDMONDO,25,1,128; , accesso esterno; , ;via de amicis edmondo 025; 
19503,VIA,DURINI,27,1,264; , accesso esterno; , ;lgo toscanini arturo 001; 
19504,VIA,FOSCOLO UGO,3,1,471; , accesso esterno; , ;via foscolo ugo 003; 
19505,VIA,LORENTEGGIO all'interno del rist.mc donald,271,6,,,; accesso: accesso esterno; 
19506,VIA,MONTEVERDI CLAUDIO,15,3,018; , accesso esterno; , ; 
19507,VIA,SARPI FRA' PAOLO,048,8,071; , accesso esterno; ,; 
19508,VIA,TORRICELLI EVANGELISTA,1,5,127; , accesso esterno; , ; 
19509,CSO,DI PORTA ROMANA,46,1,270; , accesso esterno; , ;cso di porta romana 046; 
19510,CSO,SAN GOTTARDO,30,5,094; , accesso esterno; , ; 
19511,CSO,VENTIDUE MARZO,4,4,043; , accesso esterno; , ; 
19512,CSO,VITTORIO EMANUELE II,15,1,316; , accesso esterno; , ;cso vittorio emanuele ii 015; 
19513,VIA,VERRI PIETRO,8,1,315; , accesso esterno; , ;via verri pietro 008; 
19514,PLE,PERRUCCHETTI GIUSEPPE,4,7,105; , accesso esterno; , ; 
19515,VIA,PIERO DELLA FRANCESCA,4,8,058; , accesso esterno; , ; 
19516,VIA,JACOPINO DA TRADATE,7,8,280; , accesso esterno; , ; 
19517,VLE,SAN MICHELE DEL CARSO,2,7,236; , accesso esterno; , ; 
19518,VIA,FARINI CARLO,66,9,204; , accesso esterno; , ; 
19519,VIA,MOTTA EMILIO,6,7,236; , accesso esterno; , ; 
19520,VLE,CONI ZUGNA angolo via solari,000,1,,,; accesso: accesso esterno; 
19521,VIA,DEI CANZI,20,3,133; ,, ; 
19522,VIA,LOSANNA,24,8,030; , accesso esterno; , ; 
19523,VIA,DEGLI IMBRIANI,9,9,078; , accesso esterno; , ; 
19524,VIA,DELLA SPIGA,36,1,184; , accesso esterno; , ;via della spiga 036; 
19525,CSO,GARIBALDI GIUSEPPE,117,1,004; , accesso esterno; , ; 
19526,VIA,VARESINA,107,8,194; , accesso esterno; , ; 
19527,GLL,VITTORIO EMANUELE,088,1,415; , accesso esterno; ,;via marino tommaso 007; 
19528,CSO,COLOMBO CRISTOFORO,6,6,048; , accesso esterno; , ; 
19529,VIA,LORENTEGGIO,035,6,149; , accesso esterno; ,/37; 
19530,VIA,SPALLANZANI LAZZARO,15,3,107; , accesso esterno; , ; 
19531,PZA,DIAZ ARMANDO,7,1,423; , accesso interno; , ;pza diaz armando 007; 
19532,VLE,TUNISIA,24,3,100; , accesso esterno; , ; 
19533,VIA,ROVELLO,1,1,376; , accesso esterno; , ;via rovello 001; 
19534,VIA,PRINA GIUSEPPE,2,8,061; , accesso esterno; , ; 
19535,VIA,BAGUTTA,8,1,261; , accesso interno; , ;via bagutta 008; 
19536,VIA,BALDISSERA ANTONIO,4,3,,, ; accesso: accesso esterno; 
19537,CSO,SAN GOTTARDO,28,5,,, 
19538,VIA,CARTA GIOVANNI BATTISTA,36,2,219; , accesso esterno; , ; 
19539,VLE,MONZA,41,2,346; , accesso esterno; , ; 
19540,PZA,ARGENTINA,4,3,019; , accesso esterno; , ; 
19541,VIA,ALUNNO NICOLO',9,7,197; , accesso esterno; , ; 
19542,VIA,CAPECELATRO ALFONSO,20,7,277; , accesso esterno; , ; 
19543,VIA,FELTRE,27,3,060; , accesso esterno; , ; 
19544,VIA,MANIN DANIELE,13,1,016; , accesso esterno; , ; 
19545,VIA,MELATO MARIA,8,8,355; , accesso esterno; , ; 
19546,VIA,VILLORESI EUGENIO,11,6,063; , accesso esterno; , ; 
19547,VLE,SARCA,163,9,050; , accesso esterno; , ; 
19548,VIA,CASCINA BAROCCO,5,7,163; , accesso esterno; , ; 
19549,VIA,GIAMBELLINO,150,6,135; , accesso esterno; , ; 
19550,VIA,DOLCI CARLO,18,7,290; , accesso esterno; , ; 
19551,VIA,CALIFORNIA,23,6,009; , accesso esterno; , ; 
19552,VIA,CASCINA BIANCA,18,6,132; , accesso esterno; , ; 
19553,VIA,PLANA GIOVANNI ANTONIO,43,8,325; , accesso esterno; , ; 
19554,VIA,STATUTO,18,1,175; , accesso esterno; , ; 
19555,VIA,BELLOTTI FELICE,1,3,154; , accesso esterno; , ; 
19556,VIA,SCARPA ANTONIO,1,7,216; , accesso esterno; , ; 
19557,VLE,PIAVE,4,3,174; ,, ; 
19558,VIA,CASATI FELICE,23,3,100; , accesso esterno; , ; 
19559,VIA,SOLFERINO,34,1,087; , accesso esterno; , ; 
19560,VIA,PROCACCINI GIULIO CESARE,7,8,065; , accesso esterno; , ; 
19561,VIA,CARDUCCI GIOSUE',11,1,290; , accesso esterno; , ;via carducci giosue' 011; 
19562,VLE,AFFORI,7,9,147; , accesso esterno; , ; 
19563,VIA,REMBRANDT,68,7,278; , accesso esterno; , ; 
19564,VIA,RESEGONE,5,9,098; , accesso esterno; , ; 
19565,CSO,MAGENTA,5,1,343; , accesso esterno; , ;cso magenta 005; 
19566,VLE,CATERINA DA FORLI',52,7,016; , accesso esterno; , ; 
19567,VIA,BENACO,27,4,047; , accesso esterno; , ; 
19568,VLE,CA' GRANDA,016,9,130; , accesso esterno; ,/b; 
19569,VIA,SANTO SPIRITO,3,1,258; , accesso esterno; , ;via santo spirito 003; 
